target_deathrate,incidencerate,medincome,pcths25_over,pctbachdeg25_over,pctpubliccoverage,pctpubliccoveragealone,povertypercent
166.9,352.4,44282,36.9,13.5,35.1,10.4,13.2
174.5,516.2,54593,31.4,15.6,28.5,7.4,8
205.2,403,53420,24,17.6,27.3,7.6,10.7
162.5,462.5,50435,24.7,21.4,22.5,10,16.7
147.3,385.4,39679,38.2,13.7,35.5,11.6,16.1
232.3,535.5,51192,37.6,16.5,34.3,7.4,9.5
160.3,481.5,50038,37.1,12.2,34.7,9.9,11.1
104.8,336.1,46923,32.6,16.1,33.6,14.2,14.1
134.7,370.5,53721,31.7,17.3,31.4,9.9,9.7
108.8,360.6,44696,39.3,10.9,34.5,11.5,11.9
148.3,429.1,48887,37,14.9,31.7,13,12.3
125.9,424.9,40258,31.5,14.4,41.6,10,13
124.6,254.7,81209,28.4,17.6,19.3,9.2,8.6
153.1,515.6,56616,33.8,15,31.7,11.1,10.1
151.9,482,74047,29.7,15.6,22.7,6.3,7.3
165.2,487.9,54637,30.2,19.8,22.6,9,9.2
196.8,485.1,66807,29.7,17.6,19.7,7.9,9.3
205.3,436,45040,30.8,15.7,35.5,12.9,10.8
137.6,338.6,62010,30.3,13.7,27,7.8,10.6
177,381.4,56298,38.6,15.2,30.4,10.7,8.9
106.5,357.4,39572,33.2,13.5,28.7,9,11.6
164.9,436.3,51097,30.2,18.1,29.7,11.2,12.3
181.4,447,56270,36.4,14.6,29.4,8.8,8.4
151.7,403.5,60957,30.1,13.4,21.9,5.9,7.7
137.7,456.9,57177,28.5,16.8,25.6,10.2,9.7
216.9,474.1,35630,21.8,16.1,36.9,29.2,31.6
188.2,579.7,58467,32.8,16.7,25.7,5,7.3
124.8,374.8,44990,36.8,12,45.6,23.3,16.1
259.1,481.1,33950,31.8,13.5,39.7,31.8,33.6
131.8,425.7,76672,30.5,17.5,19.6,5.9,7.6
117.6,341.9,59408,30.9,16.3,29.8,7.9,7.1
172.5,471,53333,35.5,19.3,27.7,11.5,11.6
169.4,527.4,51961,33.2,14.2,35.1,14.5,10.9
158,475.3,58995,25.2,19.5,28.2,10.4,8.9
178.3,475,54366,33.5,13.5,30,14.3,13.1
174.3,454.6,49626,28.8,19.3,33.7,17.5,13
195.9,445.2,41450,39.2,9.1,35.1,20.4,18.1
201.7,468.1,36409,42.5,8.3,47.3,29.8,20.4
212.3,430.8,36176,41.4,9,48.5,31,22.7
194.7,490.9,37873,35.6,13.1,51.1,23.6,14.9
166.2,401,57408,30.8,19.9,28.3,16.5,11.9
198.2,426.3,39779,35.9,9.3,43.5,24.3,16.9
214,456.2,32734,42.1,9.2,49.3,32.2,27.4
202.4,364.5,39493,49.3,7.3,41.8,22.3,18
167.6,380.4,36964,35,10.5,43.8,24.3,17.9
229,403.9,29541,44.6,8,56.4,38,32.1
170.4,401.9,38504,33.6,14.1,35.9,19.1,21.5
137.6,398.5,35049,36.8,7.4,44.8,24.2,25
228.7,433.2,33826,43.8,7.5,46.8,25.5,19.9
188.5,460.8,40555,39.2,10.6,44.1,21.6,15.2
163.4,462.3,43201,44.8,10.8,42.3,24.7,16.6
210,414.9,37495,38.2,13.3,38.8,22.6,24.1
167.2,443.9,42348,42.1,11.1,42.3,24.3,18.3
191,387.1,42851,32.8,16.1,37.8,23.7,22.3
195.3,439.8,43466,38.7,10.1,38.5,24,16.6
242.9,389.9,35455,36.3,11.7,42.1,29.6,27.3
230.9,433.4,38597,45.8,9.1,42.9,27.5,22.3
250,472.7,34018,50.5,9.4,44.5,24.9,21
194,453.8,36620,43.9,8.4,43.2,24.3,24.9
186.9,455.6,33028,40.4,7.5,52.5,32.7,27.3
190.6,455.8,36801,35.5,13.6,40.6,26,24
174,449,51436,30.6,18,29,16.4,14.7
201.6,396.3,40404,40.4,8,42.9,26.4,17.5
175,394.1,33347,43,7.3,48.6,25.6,22.6
196.4,464.4,40621,32.2,13.2,44.6,23.6,18.7
190.5,502.9,46067,43.1,11.4,35.9,19.5,13.3
194.5,414.1,42572,43.1,10.2,41.1,23.6,16.3
185,380.6,33136,38,7.7,44.6,30.3,24.4
200.3,422.1,37831,42.1,8.5,43.2,23.5,18.7
190.8,477.4,35940,36.3,5.8,42.5,21.6,19.5
220.6,434.6,37336,33.5,9.5,42.4,26.7,18.8
170.1,438.6,41085,38.9,10.4,40.3,23.9,18.6
184.1,420,32744,40,8.1,49.3,26.6,22
233,532.1,32427,45.3,6.1,48.8,29.5,25.1
204.1,502.1,35927,38.7,11.5,44.2,27.1,26.8
176.9,395.3,34923,41.1,11.5,39.6,23.8,19.7
195.2,364.1,32225,43.3,9.4,48,26.9,27.5
213.5,442.5,34916,42.7,8.3,47.1,27.7,23
217.6,382.4,28006,39.5,5.5,53.7,34.7,39.3
194.4,402.4,37644,48,6.5,46.4,30.1,29
196,460.7,40418,38.3,6.9,40.4,22,17
205.5,392.5,37691,40.6,7.1,42,22.6,18.2
221.2,424.7,36391,43.7,9.9,44.7,24.6,21.1
204.9,492.3,54459,34,13.7,32.9,18,12.3
195.3,393.4,39158,46,7.1,38.7,22.9,18
213.7,442,33181,43.4,9.1,52.2,24,20.3
212.3,423.4,40877,39.3,10,39.9,23.9,20.8
236.4,403.3,33577,36.6,8.2,45.2,30,27.1
229.9,515.3,30682,41.2,7.7,56,33.5,28.1
146.2,400.3,34597,37.6,7.9,47,28.1,20.1
210.7,407.9,30935,42.8,10,47.1,29.8,25.1
173.3,430.4,46931,29.5,15.2,36.3,18,16.8
203.6,397.4,35895,42.4,9.7,48.8,27.8,20.1
198.5,426.8,34971,43.2,10.2,46.1,25.9,23
209.9,484.6,40556,42.1,6.9,43.3,25.5,17.3
248.7,438.5,28171,31.7,7.2,53.1,36,35.3
184.3,401.8,36893,35.6,8.4,46.5,30,20
247.1,480.5,35851,42.6,6.1,51.3,35,21.9
187.2,396.4,33127,39,7.8,52.7,30.9,22
207.1,475.7,39909,33.2,13.4,36.2,21.6,18.3
196.7,449.5,39896,41.8,7.2,47.1,28.7,18.7
182.7,472.3,45698,27,20.7,33.7,19.7,16.1
190.5,443.3,43057,34.5,11.3,37.5,18.3,16.7
212.5,425.6,37761,39.3,8.7,47.1,27.8,18.3
202.9,375.9,30489,39.7,7.1,48.4,32.4,33.4
169,461.3,55915,33.9,15.4,33.8,17.1,8.7
207.4,410,33202,39.6,6.9,44.6,24.7,23.7
219.4,445.8,31765,40.2,8.8,54,29.5,23.3
187.5,429.4,39907,31.9,13.1,37.9,22.7,22.1
179.5,388.4,37014,34.9,4.6,39.7,25.8,20.4
190.4,493.4,32101,45.9,5.9,54,31.5,21.6
171.7,408.4,30010,35.4,9.5,54,27.9,24.4
218.7,494.4,40841,37.7,12.6,41.3,23.2,23.1
178.9,424,32975,42.7,8.3,48.8,26,22
173.1,430.3,45589,27.9,17.8,27.6,17.1,19.3
201.4,473.3,42044,37.6,11.7,37,20.9,19.4
215.9,492.6,29969,44.5,7.7,52.5,34.3,25.1
207.9,445.9,37080,40.6,9.3,42.1,23.5,17.4
147.7,413.4,76996,18.5,25,27.9,16.6,12.5
166.6,469.8,54610,27,14.7,44.7,19.4,12.9
178.7,489.2,42302,22.6,17.5,42.3,24,21.9
157.4,413.9,53321,27.6,14.4,43.4,19.2,13.7
153.3,400.2,48006,21.7,11.4,42.3,30.9,14.3
211.9,482.9,34679,37.6,5.1,45.3,24.2,18.8
151.5,456.3,80338,18.7,25.2,28.4,14.9,10.5
185.4,431.6,41419,29.1,9.4,51.9,31.8,22.4
151.5,458.6,70235,21.8,20.8,31.5,14,11.4
152.8,412.6,43338,22.8,13,43.1,30.8,27.5
165.2,443.4,43755,29.6,10.7,41.2,26.3,17.1
177.4,459.5,40581,25.2,18.5,41.4,24.2,21
130.3,387.9,38737,21.9,9.9,43.4,29.9,23.6
138.1,408.4,49267,30.9,14.7,39.8,18.5,14
161.3,419.5,47451,27.3,10.3,40.1,29.5,24.5
156.8,431.5,38221,31.4,15.6,41.9,24.4,22.7
159.7,430.2,53572,23.7,24.3,30.3,13.2,12
126.9,371.2,37911,22.1,18.7,33.9,13,19.1
174.6,460.7,36734,33.6,12.9,43.2,20.5,19.2
130.6,349.8,43132,45.9,15.6,30.7,7.4,15.4
129.5,378.7,41539,35.9,18.8,34.8,13.7,12.6
198.6,573.8,36903,39.7,18.8,41.3,19.9,18
188.8,538.8,36449,41.8,9.8,53.8,27.1,17.3
158.9,420.1,44716,22.7,25.4,26.9,14.3,15.8
196.6,587,39827,40.2,10.7,39.4,19.6,19.1
140.9,459.2,42942,33.1,23.3,29.3,14.2,14.7
151.2,456.8,41595,37.3,15.3,35.2,13.6,15.7
171.7,424.8,39292,33,17.4,37.6,17.8,20.3
161,462,40072,37,12.1,38.2,18.8,20.2
151.6,404.2,42902,33.9,16.6,41,20.1,17.2
170.1,435.5,65738,38.5,11.4,20.2,8.3,8.2
182.6,509.5,37511,38.8,10,38.6,29.9,23.8
164.6,490.7,50751,32.7,14.8,27.7,14.2,20.5
151.3,439.6,32815,41.9,12.9,44.7,22.2,20.7
165,403.1,52711,30.4,17.8,31.8,12.9,10.2
171.4,445.5,39882,34.9,16.8,34.7,17.5,19.5
127.4,519.3,60812,37.2,15.2,30.2,10.8,8.4
165.6,473.1,45000,38.1,20,33.6,14.6,12
164.9,447.8,46208,34.3,16.5,40.2,18.1,13.9
174.2,475.5,45207,36.6,10.4,35,16.8,17.2
129.5,424,46328,37.8,14.1,40.4,19.9,12.4
149.4,382,35875,36.4,14,34.1,16.7,19.5
214.4,373.3,43859,37.4,16.4,38.5,14.3,11.7
168.9,475.8,51653,31.2,20.1,29.1,14.4,12.3
157.5,485.3,48658,32,14.9,27.5,12.1,12.5
139,472.7,50919,33.1,12.8,31,12.2,14
171.1,520.4,52914,42.3,11.5,29.3,10.8,10.3
159,434.4,55465,33.8,11.3,30.7,15.9,11.4
135.2,384.9,39964,41.5,14.5,37.6,16.1,13.9
156,358.2,42348,41.2,10.2,39.8,17,12.8
159.1,443.6,51550,25.6,23.1,22.7,9.7,12.5
201.4,485.1,49345,39.2,12.3,35,15.1,10.6
167.3,399.5,54240,39.9,11.2,30.1,10.1,9.2
193.1,478,66522,32.1,16.9,24.4,9.3,6.9
120,334.6,54421,40.6,13.1,28,8.9,10.4
172.1,462.8,52749,33.2,14.7,30,10.8,9.3
148.7,395.1,43564,31,14.5,30.8,12.9,13.3
122.2,439.5,55964,27.1,17.6,27.1,13.3,9
148.9,506.7,55758,32.6,14.2,32.5,15.8,11.3
163,394.5,50758,33.2,9.5,25.7,14.2,10.3
128.3,370.9,56047,38.9,14.3,31.5,15.7,9.1
159.7,429.8,45644,32.8,14.6,34.1,14.3,13.4
177.8,396,50289,34.9,7.6,27.8,16.8,14.8
155.4,370,40667,29.1,19.5,26.7,10.8,18.8
139.7,409,47366,33.4,9.7,30.4,16.5,13.7
104.6,402.3,44109,36.3,11.5,35.5,15.6,11.8
168.3,447.2,52601,38.6,12.6,30.3,13.7,10.7
177.9,487.5,50043,36.8,13.4,30.8,13.7,12.9
179.7,476.6,52842,21.9,24.2,26,14.8,14
151.9,406.9,45624,32.5,13.6,35.9,17.2,13.8
150.3,423.8,54556,39.1,13.5,31.9,12.7,10.1
119.2,339.4,44794,37.1,14.6,39.5,17.7,13.6
127.2,443.6,48543,34.7,11.8,30.4,10.8,13.7
145.5,482.7,44461,33.7,14,36.6,16.6,12.7
165.2,463.1,50861,34.6,14.1,33.2,13.4,11
128.2,419.3,38645,32.5,16.3,38.8,15,15.6
141,482.9,40436,39.5,11.8,41.8,16.8,11.8
187.4,445.3,55319,34.8,14.5,27.9,10.7,9.1
149,404.4,43858,39.8,10.7,38.1,17.1,12.7
160.8,469.4,48499,32.5,12.4,30.2,16.7,14.7
155.8,411.9,62191,31.8,18.3,30.9,15,6.9
223.9,445.6,46744,37.6,12.4,33.7,12,11.4
183.7,501.5,40496,37.4,9.2,37.5,17.6,13.8
155.3,407.3,46667,34,14.9,30.4,11.5,12.5
155.2,450.8,51040,41.6,14.9,29.8,11.5,11.5
201.3,379.5,44947,42.6,10,37.8,16.2,11.5
185.6,425.6,48511,40.7,10.8,30.9,14.6,13.9
136.4,440.9,56791,32.5,16.8,27.8,10.6,9.6
161.3,411.5,45192,34.5,14.2,36.4,15.1,12
203.8,401.5,45771,34,11.6,40,22.2,11.7
161.7,461.2,42745,37.2,13.3,36.2,15.8,14.9
153.5,425.9,52011,22.6,23.9,24.1,11.7,14
167,456.8,49770,31.4,14.2,31.7,13.9,14.5
161.2,473.4,51836,29.3,13.6,28.2,14.5,13.7
163.6,448.8,50893,34.5,12.1,33.7,12.1,10.4
131.6,444.6,46961,32.3,13.6,30.9,15.8,14
141.8,395.7,48535,38.1,10.9,29,9.9,11.7
164.7,398.7,49162,34.9,20.4,29.2,13.6,13.6
154.3,431.1,43249,42.1,11.2,38.5,13.8,13.4
149.1,410.1,51527,37.7,15.1,28.8,11.4,10
171.1,425,42977,45.3,10.8,35.1,10.6,12.2
147.5,327.2,56080,31.1,13.5,29.3,10.3,10.4
173.5,409.2,54137,33,16.9,29.5,11.6,9.5
159.5,426.4,53489,36,15.9,26.9,11.3,10
155.1,424.5,61768,31,13.7,23.5,9.9,8.4
187.7,417.6,58162,32.5,14.7,26.3,8.8,8
172.7,428.4,43842,36.4,12.9,31,12.4,11.7
192.2,444,44282,39.7,15.1,40.1,19.4,14.4
187.3,502.1,46051,41.7,14.1,31.4,11.4,15
181.9,529,51805,34.7,8.1,25.7,11.6,10.1
169.9,463.5,74008,22.5,24.2,19.7,8.3,5.3
176.2,428.6,61961,33,16.1,28.5,11.5,8.2
160.2,419.7,47194,30,14.5,34.4,19.7,15.6
190.8,472.2,48195,24.1,23.6,29.1,18.5,19.9
212.3,431.5,37417,44.6,7.5,44.3,23.9,19.9
202.8,422.5,38595,43.2,9.3,40.7,23.4,20.1
199.1,497.9,45914,43.7,9.3,35,20.2,14.3
185.6,408,43425,40.2,11.6,37.6,21.9,19.6
174.7,471.4,56573,35.8,15.9,32.9,15.6,14.7
230.9,496.6,30299,44.2,7,53.2,33,28.1
180.5,465.4,43851,37,11.6,39.7,20.9,16.5
214.7,460.4,37498,38.4,10.3,38.6,22.3,19.5
199.9,469.4,41326,42.3,9.7,37.9,20.1,16.9
211,496,35704,45.3,7.6,41.8,23.8,21.9
194.7,469.7,36740,42.6,9.8,42.5,22,17.7
218.9,460.3,28086,42,6.7,51,33.2,26.1
197.9,489.4,37410,42.1,10,42.3,24.6,23.4
172.9,470.9,48380,27.3,18.2,32.9,17.5,15.9
230.9,483.5,27323,39.4,7.3,49.4,31.1,29.5
213.7,480.3,35321,44.4,5.7,45.3,28.9,25.3
185.9,456.8,36285,43.6,7.6,45,25.8,21.7
211.8,500.6,39506,44.2,8.8,42.4,23.8,19.6
183.7,457.4,35470,42.1,7.2,43.5,26.4,24.7
204.5,467.1,39303,39.8,8.4,40.6,25.5,19.1
219.1,479.3,37151,45.1,8.5,44.2,24,20.5
213.5,509.6,37443,43.3,6.6,41.1,25.7,20.2
219,457,39753,46.3,8.4,43.4,25,19.1
222.6,527.3,42837,42.8,8.9,37.8,17.8,17.6
196.5,449.1,35379,47.7,5.1,52.2,32.2,23.4
185.3,484,41235,39.5,9.6,37.8,21.1,17.8
211.3,414.7,31330,40.9,6.1,48.7,26.1,26.4
181.6,484.4,47199,26.5,21,29.4,16.4,17.7
247.6,413.7,28524,44.6,5.9,52.1,36.7,41.9
218.3,484.4,33595,44.5,5.8,45.2,29.6,24.8
187.3,438.8,34614,42.2,7.8,37.1,20.7,21.8
217.1,538.7,36255,43.2,8.4,40.9,23.6,20.3
193,421.9,41802,41.9,11.3,40,20.8,16.5
170.6,467.4,53945,34.2,15.7,40.7,21.4,13.6
195.9,447.5,39528,42.7,9.8,39.6,21.5,17.4
210.7,433.7,34882,44.2,7.8,45.8,27.4,23.5
211.2,531.4,36886,43.9,5.4,38.6,22.3,19.3
176.3,434,43113,32.9,17,37.2,22.6,20.9
220.2,521.2,40766,37.2,9.2,38.5,20.9,20.6
216.9,490.5,42839,42,10.4,34.1,18.3,15.5
187.4,450.4,51303,36.6,13.2,35.3,20.6,15.5
229.6,461.4,34801,42.7,4.6,42.7,23.7,20.8
207,482.9,37392,42,8,42.4,23.7,20.6
195.4,446.6,50935,30.8,16.6,29,14.9,13.9
137.3,408.9,50358,40.2,12.2,32.5,12.5,12.5
191.1,488.7,36390,51.3,4,43.7,24.3,23.4
215.6,455.6,40683,41.3,10.3,40.5,21.6,20.8
220.1,470.1,35884,43.7,8.2,41.7,24.1,18.9
198.4,492.4,33776,41.4,8,41.3,23.9,23.6
160,483.4,31996,38.4,4.8,44.1,21.8,19.2
244,480.2,36643,43.3,6.1,41.6,24,20.3
189.2,442.4,37693,37.8,15.4,36.1,21.1,20.8
193.5,532.5,37952,38.1,7.8,45.3,25.6,22
198.7,492.7,43269,36.6,11.3,42,21.9,18
187.2,496.6,52640,38.4,11.8,29.8,17,13.4
177.6,450.4,53799,29.6,21.4,23.5,13.7,14.7
255.9,535.4,31397,47.6,4.6,45.7,30.3,24.5
227.4,465.4,44111,40.2,7.6,40.4,22.1,18.7
185.2,493.9,39905,37.5,10.4,36.9,21.2,17.7
202.7,461.5,44015,27.1,18.9,33.4,21.2,23
225.1,486.5,43659,48,6.2,36.5,22.4,15
230.1,514.7,41590,42,8.1,40.2,18.9,17.5
187.2,472.8,38840,34.8,13.6,40.2,20.3,18.5
162.5,470.6,58291,32.8,16.5,30,17.5,11.3
208.4,484.6,52339,39,9.6,32,18.9,15.4
217,462.6,40251,42.8,6.6,35.5,23.6,17.5
196.1,444.8,37632,41.6,7.5,46.9,24.4,20.1
221.3,526.2,37453,44.2,6,44.9,27.9,22.6
174.1,468.4,34884,50.1,7.5,41.1,24.1,20.6
209.6,453.3,36942,42.5,8,43.9,27,19
176.7,451.1,43212,30.7,18,33.9,17,16.7
201.4,434.8,33573,43.6,5.6,43.5,27,23.3
205.4,443.1,36205,39.8,13.6,35,17.8,21.5
203.7,459.9,35400,45.3,7.5,42.2,23.8,21.9
139,443.4,97936,16.4,35.8,16.5,7.4,5.6
179.2,463.3,60955,32.1,19.9,26.8,14.5,10.1
245.2,394.3,42471,36.9,7.5,34.1,19,20.4
182.2,401.3,66878,33.6,8.8,23.4,14.6,10.7
168.3,499.2,42128,31.6,10.1,37.6,22.2,17.9
194.6,433.4,44551,30.9,12.5,42.4,22.9,17.5
138.8,289.2,58867,36.5,16.6,28.2,12.5,9.4
213.4,435.7,55177,24.3,16.1,28,11.7,11
169.1,387.6,52785,36,9.3,32.6,20.5,16.9
160.1,398.2,58792,30.3,14.4,28.4,14.2,11.2
110.4,334.4,36821,32.4,4.6,34.5,21.6,19.9
140,388.9,50107,29.2,15.4,37.3,15.3,13.5
181.8,415.6,52886,30.4,12,31.1,16.2,14.7
212.3,458.2,36027,31.7,19.6,32.9,13.3,18.3
151.6,341,40680,33.1,6.3,35.8,23.1,24.9
177.3,475.2,51048,28.2,15.2,29.3,13.7,14.2
157.2,399.2,50699,25.2,17.1,30.8,18.3,18.3
154,372.8,57177,30.7,19.7,32.7,12.7,12
190.7,393.2,44397,34.7,11.5,36.3,16.9,15
184.8,427.6,41883,36,11.9,36.1,19.6,20.1
169.3,429.3,73788,25.7,18.5,21.7,12.5,9.9
151.8,424.7,41641,20.4,20.8,19.8,11.2,26.4
160.4,387.7,40179,21.4,22.8,29.8,13,13.8
173.3,408,27875,37.6,7.7,45.8,29.9,32.4
188.4,427.7,41316,37.9,13.1,36.9,19.3,17.5
224,508,33134,42.7,7.1,44.2,24.3,27.4
172.6,490.9,51138,29.4,16.1,31,16.6,14.3
199.4,492.8,39812,32.9,15,39,24,24.1
192.2,490.4,45979,35.8,14.4,33.7,19.6,18.4
200.1,467.6,36350,42.8,6.4,38.6,23.2,23.3
133.3,509.4,59300,38.5,11.5,30.3,13.5,12.2
224.9,504.4,34116,42.2,9.9,37.6,20.1,23.3
177.8,473.5,35385,40.7,8.6,47.1,27.2,28.2
216.1,480.4,31835,41.3,8,34.3,18.7,30.9
197.8,503.8,40642,41.2,8.5,39.9,22.5,23.5
178.8,487.1,46831,26.7,21.6,30.3,19,18.4
250.7,512.7,25402,38.5,6.6,51.1,36.3,43
212.2,570.8,41651,43.5,8.9,39,23.5,20.4
211.4,459.2,32615,34.6,9.3,47.8,31.2,24.1
140.5,479.6,32318,40.3,6.4,43,26.2,29
222.7,482.7,40668,42.3,6,42.2,24.4,22.8
205.9,515.4,45226,42.1,9,37.5,23,19.4
225.1,586.2,47377,38.3,8.9,35.9,21.3,19.9
217.7,518.6,37130,41.9,8.4,45.6,26.1,24.6
188.6,473.9,47024,31.1,16.5,34.3,22.1,15.8
208,499.6,37968,41.1,9.7,42.2,25.3,21.7
182.9,487.3,51340,28.7,20.8,26.3,15.6,15.1
198.7,467.5,47382,39.1,10.2,33.4,19.4,17.6
209.6,464.8,44139,43.6,8.6,32.7,18.1,18
205.7,436.3,32889,27.7,20.8,30.3,17.9,29.7
186.5,494.6,58818,40.2,14.3,28.9,18.8,12.3
181.9,379,26732,39.6,7.8,39.8,24,41.4
186.4,457.3,30636,43.5,9.3,45.3,30.3,29.4
181.5,447.2,34522,33.7,11.5,40.9,26.1,31.1
193.6,466,35468,23.2,20,37.6,25.8,27.9
199.7,480.9,40877,32.9,15.9,35.6,22.5,23.6
180.7,458.7,51304,39.3,10.2,29,18.4,16
188.2,507.4,44469,41.7,9.7,37.7,21.7,18.3
189,484.9,40406,37,11.6,40.6,22.6,19.8
172.2,431.7,33322,44.3,8.7,41.3,26,25.3
191.3,456.4,36666,41,9.4,35.4,20.9,24.9
202.5,500.4,39561,42,9.2,39.8,20.3,21.2
233.1,516.9,45615,40.9,9.9,32.6,20,17.9
190.3,470.8,60751,36.7,14.9,28.2,18.6,12.1
212.5,461.5,35004,45.7,5.6,47.8,26.8,24
201.2,497.4,47477,44.8,10,32.3,19,16.1
200.6,460.8,47225,37.5,11.5,36.1,24.5,20.8
217.8,530.4,32683,44.5,9,37.8,24.7,30.1
198.1,499.7,46713,42.1,9.4,36.3,21.3,18
200.6,474,42075,43.4,7.9,40.5,25.3,21.8
177.7,494.5,63441,27,20.3,30.6,18.1,11.2
207.1,489.9,39927,35.6,13.4,38.7,23.6,22.5
142.5,389,27522,45.6,7.1,42.6,23.1,32
213.2,493.1,49044,40,9.8,32.8,20.1,20.9
220.2,463.9,38998,44.9,8.2,42.4,24.5,22
180.3,529.1,45331,41,9.6,36.7,21.8,18.3
204.5,478.1,46682,35.8,13.6,31.8,15.8,13.9
224.8,536.6,29749,40.5,8.3,47.7,29,29.1
205,485.3,36003,40.5,11,42.4,25.1,22.2
182.8,526.7,51550,39.2,14.1,30,17.1,20.5
195.6,443.2,33959,44,6.8,33.2,16.2,22.5
148.2,429,53679,33.7,14.8,32,18,24
227.5,524.4,36644,42,7.9,40.1,22.2,26.8
188,478.2,46701,37.2,13.9,38.8,20.8,15.4
188.2,472.8,36066,39,12.1,47.6,24.2,20.1
173.3,479.6,61436,24.1,27.3,30.1,14.6,10.8
167.5,435.2,41035,36.9,16.4,42,21.1,15.8
165.4,491.9,45807,33.1,20.1,37.7,18.1,12.9
193.2,478.4,45556,35.6,15.3,39.2,18.9,13.8
169.4,484.9,50002,34.8,20.6,40.4,18.6,13.9
170.6,436.6,47905,32.1,18.7,42.9,18.2,11.7
189,477.6,40120,45.6,11.9,44.4,23.8,16.1
187.5,507.3,42728,34.9,15.6,39.4,20.7,18
194,478.1,36994,40.5,11.9,50.6,25.8,20.3
173.6,451.7,55630,31.6,20.8,39.1,19,10.5
200.2,458.3,39001,41.3,10.7,46.9,25.4,17.3
180.1,484,46598,34,19.1,41,21.5,15
216.7,501.5,38057,38.3,13.6,52.5,29.4,18.5
173.7,497.7,55482,31.6,20.4,33.1,15.7,11.2
172.2,519.3,39808,42,9.2,43.6,22.9,18.5
176,468.1,86654,25,22.5,25.1,10.9,6.7
171,472.3,67766,27.2,20.9,29.7,15.1,9.8
175.2,444.5,92446,31.5,17.4,24.3,11,7.2
185.6,465.1,49573,40.7,9.7,41.2,25,16
171.1,456.2,84500,30.6,20.8,23.9,9.8,5.9
195.5,484.3,62198,37.8,13.9,30.4,17.5,10.6
186.7,420.5,86703,32.2,17.2,24.3,11.3,7.2
185.4,481.6,42279,38.3,12.1,45.6,27,17.5
155.6,435.9,83698,25.2,23.2,23.2,10.4,6.5
154.8,417.1,47441,42.2,10.2,41.4,23.2,12.4
169.9,485.5,79403,28.1,20.2,26.9,11.9,8
131.9,418.1,106871,14.2,30.7,19.3,8.2,6.1
180,461.7,53288,33.2,16.4,42.6,22,13.8
120.1,392.9,97279,14,26.6,23,11.5,7.2
172.7,401.9,71904,26.1,18.1,27.3,16.3,10.3
173.8,429.6,80650,29.9,21.6,28.8,13.5,7.5
181.5,423.2,84686,30.6,17.6,25.2,12.3,8.6
216.5,511.9,38376,43.2,9.1,46.8,30.8,25.5
161.9,454.6,54836,27.9,18.2,40.1,16.2,11.7
181,457,54606,38.1,12.3,36.3,20.5,13.8
204.3,532.1,51927,31.9,16.3,35.2,21.3,16.9
186.8,499.8,55691,31.6,18.8,43.6,21.1,11.9
226,497.2,41895,29.8,15.3,43.9,29.6,23.3
163,505,64150,24.9,23,44.1,18.9,8.9
157,464.3,49890,31.7,17.8,44,22.6,13
189.6,430.5,53244,35,7.9,29.6,17.1,14
158,424.8,55139,31.3,15.4,33.5,16.4,15
139.1,332.2,37935,24.4,11.9,36.3,28.6,32.3
173.1,424.5,44110,33.6,9.5,32.9,21.9,16.8
193.7,434.9,52548,31.3,13.4,27.3,13,12
184.8,403.5,43379,32.4,14.4,33.3,17.3,19.3
181.5,480.2,39377,29.9,13.1,35.9,18.5,15.8
167.3,345.6,29782,35.5,6.4,45.3,34.1,38.8
152.8,368.3,62752,34.8,13.5,27,12,11
182.9,383,55493,31.2,9.3,25.3,13.8,13.5
180,389.3,59904,36.8,12.4,29.2,16,10
167.6,417,42753,34.7,12.2,40.8,17.3,15.4
158.8,412.1,60738,29.7,10.6,26,16.6,11.4
191.1,428,41872,35.9,11.7,31.8,17.2,16.4
112.5,340.9,33291,26,5.3,37.5,29.1,32.6
126.3,321,26336,27,7,48.6,35.5,31
168.7,421.4,50818,37.2,14,21.3,8.2,9.8
137.3,377.6,56313,32.5,15.1,22.5,10.5,11.6
104.1,376.1,51735,21.9,23.9,19.4,10.8,14.2
155.9,433.1,47340,26.9,10.7,30.8,14.4,15.7
119.3,428.8,70797,21.2,24.1,18.8,9,7.2
155.5,448.1,61976,36,11,19.9,9.4,11.6
113.2,339,49709,32.9,9.7,28.4,12.5,12.9
105.4,399,45666,34.5,13.2,30.1,11.6,12.2
179.8,404.1,43344,24.1,17.4,28.8,14.4,15
131.1,418,43615,24.7,18.7,28.1,15.6,22.1
136.9,392.3,55204,35,11.5,25.5,13,11.4
129,398.9,48456,28.8,15.5,33.4,13.5,11.8
131.6,361.5,52623,29.1,15.4,29.4,15.2,12.9
138.7,380.5,82597,24.4,24.8,18.8,8.5,4.6
166.4,347.2,56772,37.6,15.2,36.2,17.4,10.3
130.9,417.3,62536,22.8,20.8,20.2,11,11.9
123.9,261.1,40590,31.5,11.2,35.8,25.1,29.2
156.7,383.8,44644,27,12.7,27.1,12.9,17.1
154.2,417.4,48622,33.7,10.2,30.5,14.8,12.1
123.6,432.7,92560,15.5,30.6,13.5,6.8,6.8
146.7,489.9,64193,32.1,16.8,17.9,8,8.1
133.2,365.5,65489,34.7,11.8,21.1,10.2,9.6
120.4,394.9,60957,16.8,25.8,17,9.2,12.6
114.5,432.5,65207,20.7,22.5,18.1,9.3,7.1
124.8,408.4,50169,24.6,17,34.3,17,12.9
